tid,date,time,type,away,score,home,away_star,home_star,news,player_score
1,2009年01月01日星期四,03:00 完场,常规赛,魔术,113-94,公牛,刘易斯,诺阿,http://sports.sina.com.cn/k/2009-01-01/05354150659.shtml,look_scores.php?id=2008123104
2,2009年01月01日星期四,04:00 完场,常规赛,篮网,75-83,活塞,洛佩斯,艾弗森,http://sports.sina.com.cn/k/2009-01-01/06434150696.shtml,look_scores.php?id=2008123108
3,2009年01月01日星期四,08:00 完场,常规赛,雄鹿,81-85,火箭,里德,姚明,http://sports.sina.com.cn/k/2009-01-01/10254150967.shtml,look_scores.php?id=2008123110
4,2009年01月01日星期四,08:00 完场,常规赛,掘金,114-107,猛龙,希拉里奥,巴尼亚尼,http://sports.sina.com.cn/k/2009-01-01/12014151126.shtml,look_scores.php?id=2008123128
5,2009年01月01日星期四,09:00 完场,常规赛,勇士,100-107,雷霆,阿祖布克,格林,http://sports.sina.com.cn/k/2009-01-01/12014151126.shtml,look_scores.php?id=2008123125
6,2009年01月01日星期四,10:30 完场,常规赛,76人,100-92,快船,伊戈达拉,索顿,http://sports.sina.com.cn/k/2009-01-01/12014151126.shtml,look_scores.php?id=2008123112
7,2009年01月03日星期六,08:00 完场,常规赛,热火,76-86,魔术,韦德,刘易斯,http://sports.sina.com.cn/k/2009-01-03/11274152809.shtml,look_scores.php?id=2009010219
8,2009年01月03日星期六,08:00 完场,常规赛,火箭,73-94,猛龙,韦弗,巴尼亚尼,http://sports.sina.com.cn/k/2009-01-03/10144152661.shtml,look_scores.php?id=2009010228
9,2009年01月03日星期六,08:30 完场,常规赛,奇才,83-108,凯尔特人,杨,皮尔斯,http://sports.sina.com.cn/k/2009-01-03/11274152809.shtml,look_scores.php?id=2009010202
10,2009年01月03日星期六,08:30 完场,常规赛,公牛,92-117,骑士,戈登,瓦莱乔,http://sports.sina.com.cn/k/2009-01-03/11274152809.shtml,look_scores.php?id=2009010205
11,2009年01月03日星期六,08:30 完场,常规赛,老鹰,91-93,篮网,毕比,哈里斯,http://sports.sina.com.cn/k/2009-01-03/11154152778.shtml,look_scores.php?id=2009010217
12,2009年01月03日星期六,08:30 完场,常规赛,步行者,105-103,尼克斯,杰克,哈灵顿,http://sports.sina.com.cn/k/2009-01-03/11574152846.shtml,look_scores.php?id=2009010218
13,2009年01月03日星期六,09:00 完场,常规赛,国王,92-98,活塞,米勒,斯塔基,http://sports.sina.com.cn/k/2009-01-03/12284152906.shtml,look_scores.php?id=2009010208
14,2009年01月03日星期六,09:00 完场,常规赛,勇士,108-115,森林狼,杰克逊,杰弗森,http://sports.sina.com.cn/k/2009-01-03/12284152906.shtml,look_scores.php?id=2009010216
15,2009年01月03日星期六,09:00 完场,常规赛,掘金,122-120,雷霆,安东尼,杜兰特,http://sports.sina.com.cn/k/2009-01-03/11574152846.shtml,look_scores.php?id=2009010225
16,2009年01月03日星期六,09:00 完场,常规赛,马刺,91-80,灰熊,邓肯,瓦里克,http://sports.sina.com.cn/k/2009-01-03/11574152846.shtml,look_scores.php?id=2009010229
